--- Monday ---
"Monday Hours: 7am-7:00pm ","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","","Bulk Head","","","","","","","",""
"7:00 AM","Masters Swim 7:00-8:30 am","","","","","fast","medium","slow","fast","","","","","","","","",""
"8:00 AM","","","","","","fast","medium","slow","fast","","","","","","","","",""
"9:00 AM","Closed for bulk head tranisition ","","","","","","","","medium","","","","","","","","",""
"10:00 AM","","","","","","","","","medium","","","","","","","","",""
"11:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"12:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"1:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"2:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"3:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"4:00 PM","Youth Swimming 4-6pm","","","","","fast","medium","slow","Youth ","","","","","","","","",""
"5:00 PM","","","","","","fast","medium","slow","Swim","","","","","","","","",""
"6:00 PM","Masters Swim 6:00pm-7:10pm","","","","","fast","medium","slow","Masters","","","","","","","","",""
"","Jogging","","","","","","","","","","","","","","","","",""
"","Shallow Lane is Reserved from 10:30 to 11:30am for Senior Hour","","","","","","","","","","","","","","","","",""

--- Tuesday ---
"Tuesday Hours: 7am-7pm (Summer Hours) ","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","","Bulk Head","","","","","","","",""
"7:00 AM","Masters Swim 7:00-8:30 am","","","","","Youth 
Swimming","fast","medium","fast","","","","","","","","",""
"8:00 AM","","","","","","fast","medium","slow","fast","","","","","","","","",""
"9:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"10:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"11:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"12:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"1:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"2:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"3:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","",""
"4:00 PM","Youth Swimming 4-6pm","","","","","fast","medium","slow","Youth ","","","","","","","","",""
"5:00 PM","","","","","","fast","medium","slow","Swim","","","","","","","","",""
"6:00 PM","Masters Swim 6:00pm-7:10pm","","","","","fast","medium","slow","Masters","","","","","","","","",""
"","Jogging","","","","","","","","","","","","","","","","",""
"","Shallow Lane is Reserved from 4 to 6pm for Swim Lessons","","","","","","","","","","","","","","","","",""

--- Wednesday ---
"Wednesday","","","","","","","","","","","","","","","","","",""

--- Thursday ---
"Thursday Hours: 7:00am-7:00pm  ","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","","Bulk Head","Lane 9","Lane 10","Lane 11","Lane 12","Lane 13","Lane 14","Lane 15","DEEP",""
"7:00 AM","Masters Swim 7:00-8:30 am","","","","","Youth
Swimming","fast","medium","fast","","","","","","","","","",""
"8:00 AM","","","","","","fast","medium","slow","fast","","","","","","","","","",""
"9:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","","",""
"10:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","","",""
"11:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","","",""
"12:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","","",""
"1:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","","",""
"2:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","","",""
"3:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","medium","","","","","","","","","",""
"4:00 PM","Youth Swimming 4-6pm","","","","","fast","medium","slow","Youth ","","USF Youth Swimming (4-6pm)","","","","","","","",""
"5:00 PM","","","","","","fast","medium","slow","Swim","","","","","","","","","",""
"6:00 PM","Masters Swim 6:00pm-7:10pm","","","","","fast","medium","slow","Masters","","","","","USF Masters (6-7:10pm)","","","","",""
"","Jogging","","","","","","","","","","","","","","","","","",""
"","Shallow Lane is Reserved from 4 to 6pm for Swim Lessons","","","","","","","","","","","","","","","","","",""

--- Friday ---
"Friday ","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","fast","","","","","USF Masters (7:30-8:30am)","","","",""
"7:00 AM","Masters Swim 7:00-8:30 am","","","fast","medium","slow","slow","Jogging","fast","","","","","","","","",""
"8:00 AM","","","","fast","medium","slow","slow","Jogging","fast","","medium","medium","medium","fast","fast","fast","fast","fast"
"9:00 AM","fast","fast","medium","medium","medium","slow","slow","Jogging","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
